N,Model,Price,Ram,CPU,Graphic,Storage
237,Asus,$575.00 ,4GB,AMD A10-Series A10-9620P 2.5GHz,AMD Radeon R5 M430,128GB SSD +  1TB HDD
238,Asus,"$3,890.00 ",32GB,Intel Core i7 7820HK 2.9GHz,Nvidia GeForce GTX 1080,512GB SSD +  1TB HDD
239,Acer,$846.00 ,8GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,256GB SSD
240,Lenovo,$589.00 ,8GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,128GB SSD
241,Asus,"$1,145.00 ",8GB,Intel Core i7 8550U 1.8GHz,Nvidia GeForce 150MX,128GB SSD +  1TB HDD
242,Asus,$889.00 ,8GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce GTX 950M,128GB SSD +  1TB HDD
243,Dell,$879.00 ,8GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,256GB SSD
244,Lenovo,"$1,079.00 ",8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
245,Dell,$985.00 ,8GB,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,128GB SSD +  2TB HDD
246,HP,$559.00 ,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,1TB HDD
247,Asus,"$2,999.00 ",16GB,Intel Core i7 7820HK 2.9GHz,Nvidia GeForce GTX 1080,256GB SSD
248,HP,$675.00 ,4GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,500GB HDD
249,Apple,"$2,040.00 ",8GB,Intel Core i5 3.1GHz,Intel Iris Plus Graphics 650,512GB SSD
250,Dell,$819.00 ,8GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,1TB HDD
251,Asus,"$1,799.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 980M,256GB SSD +  1TB HDD
252,Asus,$469.00 ,4GB,AMD A9-Series 9420 3GHz,AMD Radeon R5 M420,1TB HDD
253,Lenovo,"$1,849.00 ",8GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,512GB SSD
254,Acer,$702.00 ,4GB,Intel Core i3 7130U 2.7GHz,Nvidia GeForce MX130,256GB SSD
255,Dell,$949.00 ,8GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD
256,HP,$445.90 ,8GB,AMD A6-Series A6-9220 2.5GHz,AMD Radeon R4 Graphics,128GB SSD
257,HP,"$1,059.00 ",16GB,Intel Core i7 8550U 1.8GHz,Nvidia GeForce MX150,1TB HDD
258,MSI,"$2,499.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,512GB SSD +  1TB HDD
259,Lenovo,"$1,699.00 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050M,512GB SSD
260,Dell,"$1,142.00 ",8GB,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,128GB SSD +  1TB HDD
261,Lenovo,$444.00 ,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,256GB SSD
262,HP,$722.00 ,4GB,Intel Core i5 8250U 1.6GHz,Intel HD Graphics 620,500GB HDD
263,Dell,$657.00 ,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,1TB HDD
264,Dell,$565.00 ,8GB,Intel Core i5 7200U 2.5GHz,AMD Radeon R5 M430,1TB HDD
265,Dell,$799.00 ,8GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD
266,Asus,"$1,499.00 ",8GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,512GB SSD +  512GB SSD
267,Lenovo,$467.00 ,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,1TB HDD
268,HP,"$1,018.00 ",8GB,Intel Core i7 8550U 1.8GHz,Nvidia GeForce 930MX ,1TB HDD
269,Lenovo,$880.00 ,8GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,256GB SSD
270,Apple,"$1,958.90 ",8GB,Intel Core i5 2.9GHz,Intel Iris Graphics 550,512GB SSD
271,Asus,"$1,549.00 ",16GB,AMD Ryzen 1700 3GHz,AMD Radeon RX 580,256GB SSD +  1TB HDD
272,Dell,$735.07 ,8GB,Intel Core i7 8550U 1.8GHz,AMD Radeon 520,256GB SSD
273,Lenovo,"$2,499.00 ",16GB,Intel Core i7 6600U 2.6GHz,Intel HD Graphics 520,512GB SSD
274,Toshiba,$812.00 ,8GB,Intel Core i7 6500U 2.5GHz,Nvidia GeForce 930M,500GB HDD
275,Dell,$713.07 ,12GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,1TB HDD
276,Dell,"$1,099.00 ",8GB,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,128GB SSD +  1TB HDD
277,Acer,$745.00 ,8GB,Intel Core i7 8550U 1.8GHz,Nvidia GeForce MX130,1TB HDD
278,Lenovo,$489.00 ,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,1TB HDD
279,Lenovo,$849.00 ,8GB,Intel Core i7 8550U 1.8GHz,Nvidia GeForce MX150,2TB HDD
280,Lenovo,$859.00 ,6GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 940MX,128GB SSD +  1TB HDD
281,Dell,$428.00 ,4GB,Intel Core i3 6006U 2.0GHz,AMD Radeon R5 M430,1TB HDD
282,Lenovo,$829.00 ,8GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,256GB SSD
283,Lenovo,$579.00 ,6GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
284,Acer,$951.00 ,8GB,Intel Core i7 8550U 1.8GHz,Nvidia GeForce MX150,256GB SSD
285,Acer,$659.00 ,12GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,1TB HDD
286,Lenovo,"$1,097.00 ",8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 630,256GB SSD
287,Asus,$977.00 ,8GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 940MX,256GB SSD
288,Lenovo,"$1,179.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,256GB SSD +  1TB HDD
289,Lenovo,$659.01 ,8GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 940MX,1TB HDD
290,Acer,$199.00 ,2GB,Intel Celeron Dual Core 3205U 1.5GHz,Intel HD Graphics,16GB SSD
291,Asus,"$1,187.00 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,1TB HDD
292,HP,$489.00 ,8GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,1TB HDD
293,Dell,"$1,829.00 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,256GB SSD
294,Lenovo,$739.00 ,8GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD
295,Lenovo,"$1,299.00 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,1TB HDD
296,Acer,$979.00 ,8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,256GB SSD
297,Dell,"$2,884.86 ",16GB,Intel Core i7 7820HQ 2.9GHz,Nvidia Quadro M1200,256GB SSD
298,Lenovo,$499.00 ,6GB,AMD A10-Series 9600P 2.4GHz,AMD Radeon R5 430,1TB HDD
299,Asus,"$1,468.00 ",16GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 940MX,512GB SSD
300,Asus,$509.00 ,4GB,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,128GB SSD
301,Asus,"$2,122.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,256GB SSD +  1TB HDD
302,Lenovo,$649.00 ,6GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce GTX 940M,1TB HDD
303,Lenovo,$549.00 ,8GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 940MX,2TB HDD
304,Asus,"$1,265.00 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,128GB SSD +  1TB HDD
305,Lenovo,$359.99 ,4GB,Intel Pentium Quad Core N4200 1.1GHz,Intel HD Graphics 505,1TB HDD
306,HP,"$1,975.00 ",16GB,Intel Core i7 7600U 2.8GHz,Intel HD Graphics 620,256GB SSD
307,Toshiba,"$1,043.00 ",8GB,Intel Core i7 6500U 2.5GHz,Nvidia GeForce 930M,256GB SSD
308,Lenovo,$819.00 ,8GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 940MX,128GB SSD +  1TB HDD
309,HP,$469.00 ,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,1TB HDD
310,Lenovo,$999.00 ,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
311,Dell,"$2,499.00 ",16GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,1TB SSD
312,MSI,"$2,099.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,256GB SSD +  1TB HDD
313,Acer,$469.00 ,8GB,AMD A8-Series 7410 2.2GHz,AMD Radeon R5,256GB SSD
314,Asus,$275.00 ,2GB,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,32GB Flash Storage
315,Dell,$844.00 ,8GB,Intel Core i5 8250U 1.6GHz,AMD Radeon 530,128GB SSD +  1TB HDD
316,HP,"$2,449.00 ",16GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,1TB SSD
317,Lenovo,$459.90 ,4GB,Intel Celeron Dual Core 3855U 1.6GHz,Intel HD Graphics 510,16GB Flash Storage
318,HP,$980.00 ,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
319,Acer,$485.00 ,4GB,Intel Pentium Quad Core N3710 1.6GHz,Intel HD Graphics 405,128GB Flash Storage
320,HP,"$1,292.00 ",8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
321,Lenovo,$589.00 ,4GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 920MX,1TB HDD
322,Asus,"$1,094.00 ",8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
323,HP,$902.00 ,8GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,1TB HDD
324,Acer,$659.00 ,8GB,AMD A12-Series 9720P 2.7GHz,AMD Radeon RX 540,256GB SSD
325,Lenovo,$292.00 ,4GB,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,32GB Flash Storage
326,Acer,$549.00 ,6GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,1TB HDD
327,Asus,"$1,049.90 ",8GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 940MX,256GB SSD
328,HP,"$1,335.00 ",8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
329,Dell,"$2,639.00 ",32GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,1TB SSD
330,MSI,"$1,199.00 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,256GB SSD +  1TB HDD
331,Toshiba,$943.00 ,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
332,Asus,"$1,334.00 ",8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD +  1TB HDD
333,Lenovo,$449.00 ,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,1TB HDD
334,Asus,$999.00 ,8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,256GB SSD
335,HP,"$1,268.00 ",8GB,Intel Core i5 7300U 2.6GHz,Intel HD Graphics 620,256GB SSD
336,Dell,"$1,049.00 ",8GB,Intel Core i5 8250U 1.6GHz,Nvidia GeForce 940MX,128GB SSD +  1TB HDD
337,HP,"$1,144.00 ",8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
338,Asus,$274.99 ,4GB,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,1TB HDD
339,Dell,"$1,142.75 ",8GB,Intel Core i5 8250U 1.6GHz,Nvidia GeForce 940MX,256GB SSD
340,Dell,$274.90 ,4GB,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics,500GB HDD
341,Lenovo,$899.00 ,12GB,AMD A12-Series 9720P 3.6GHz,AMD Radeon 530,2TB HDD
342,HP,$716.00 ,8GB,Intel Core i3 7100U 2.4GHz,Nvidia GeForce 930MX ,1TB HDD
343,Lenovo,"$2,099.00 ",16GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,512GB SSD
344,Dell,"$1,579.00 ",8GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,256GB SSD
345,Lenovo,"$1,129.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,256GB SSD +  2TB HDD
346,HP,$279.00 ,2GB,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,32GB Flash Storage
347,Dell,"$1,607.96 ",16GB,Intel Core i7 8650U 1.9GHz,Intel UHD Graphics 620,512GB SSD +  256GB SSD
348,Asus,$375.00 ,4GB,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,32GB Flash Storage
349,Dell,$663.00 ,8GB,Intel Core i5 8250U 1.6GHz,AMD Radeon 530,1TB HDD
350,Dell,"$2,027.42 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,512GB SSD
351,HP,"$1,304.00 ",8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
352,MSI,"$1,409.00 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,128GB SSD +  1TB HDD
353,HP,"$1,738.27 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia Quadro M1200,256GB SSD
354,Toshiba,"$1,403.00 ",16GB,Intel Core i7 6500U 2.5GHz,Nvidia GeForce 930M,512GB SSD
355,Dell,$970.90 ,8GB,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,128GB SSD +  2TB HDD
356,Lenovo,$321.99 ,4GB,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,1TB HDD
357,Dell,$999.00 ,8GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,1TB HDD
358,Dell,$557.37 ,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,2TB HDD
359,Dell,"$1,427.00 ",8GB,Intel Core i5 7300U 2.6GHz,Intel HD Graphics 620,256GB SSD
360,HP,$439.00 ,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,500GB HDD
361,Asus,$945.00 ,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
362,Lenovo,$719.00 ,6GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce GTX 940MX,128GB SSD +  1TB HDD
363,HP,$639.00 ,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,1TB HDD
364,Lenovo,$499.00 ,8GB,Intel Core i3 6006U 2GHz,Nvidia GeForce 920MX ,256GB SSD
365,HP,$389.00 ,8GB,Intel Pentium Quad Core N3710 1.6GHz,Intel HD Graphics 405,2TB HDD
366,Dell,"$1,085.00 ",8GB,Intel Core i5 8250U 1.6GHz,AMD Radeon 530,128GB SSD +  1TB HDD
367,Lenovo,$809.00 ,8GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD
368,Dell,$899.00 ,8GB,Intel Core i7 7500U 2.7GHz,AMD Radeon R7 M445,256GB SSD
369,HP,"$1,750.00 ",8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
370,Asus,"$1,099.00 ",12GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce GT 940MX,512GB SSD +  2TB HDD
371,Acer,$426.00 ,4GB,AMD A9-Series 9420 3GHz,AMD Radeon R5,128GB SSD
372,Asus,"$2,199.00 ",16GB,AMD Ryzen 1700 3GHz,AMD Radeon RX 580,256GB SSD +  1TB HDD
373,Lenovo,$489.00 ,4GB,AMD A8-Series 7410 2.2GHz,AMD Radeon R5,128GB SSD
374,Dell,$869.01 ,8GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,256GB SSD
375,HP,$488.99 ,4GB,AMD A9-Series 9420 3GHz,AMD Radeon R5,256GB SSD
376,Lenovo,$553.00 ,4GB,Intel Celeron Quad Core N3450 1.1GHz,Intel HD Graphics 500,128GB SSD
377,Dell,$309.00 ,4GB,Intel Celeron Dual Core N3060 1.60GHz,Intel HD Graphics 400,500GB HDD
378,Asus,$286.00 ,4GB,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,32GB Flash Storage
379,Acer,$846.00 ,8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,1TB HDD
380,HP,"$1,191.00 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD
381,Lenovo,$403.50 ,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,128GB SSD
382,Asus,"$1,655.00 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,128GB SSD +  1TB HDD
383,Lenovo,"$1,099.00 ",8GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 940MX,256GB SSD
384,Asus,"$1,748.90 ",16GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,512GB SSD
385,Lenovo,"$2,282.00 ",8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,512GB SSD
386,Lenovo,$549.00 ,4GB,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,128GB SSD
387,Dell,"$1,369.00 ",8GB,Intel Core i5 6440HQ 2.6GHz,AMD FirePro W5130M,500GB HDD
388,Dell,"$2,135.00 ",8GB,Intel Core i7 6820HQ 2.7GHz,Nvidia Quadro M1200,256GB SSD
389,Lenovo,"$2,509.00 ",16GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,512GB SSD
390,Asus,"$1,039.00 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,1TB HDD
391,Asus,"$1,591.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,256GB SSD +  1TB HDD
392,Acer,$693.99 ,12GB,Intel Core i5 8250U 1.6GHz,Nvidia GeForce MX130,1TB HDD
393,MSI,"$1,349.00 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,256GB SSD
394,Dell,$778.87 ,8GB,Intel Core i7 7500U 2.7GHz,AMD Radeon R7 M445,256GB SSD
395,HP,$499.00 ,4GB,AMD A9-Series 9420 3GHz,AMD Radeon 520,256GB SSD
396,Lenovo,"$1,229.56 ",8GB,Intel Core i7 8550U 1.8GHz,AMD Radeon RX 550,256GB SSD
397,Lenovo,$938.00 ,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
398,Dell,"$2,712.00 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia Quadro M1200,256GB SSD
399,Lenovo,"$2,625.00 ",16GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,1TB SSD
400,Lenovo,$306.00 ,4GB,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,1TB HDD
401,Asus,"$1,529.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,256GB SSD +  1TB HDD
402,Lenovo,"$1,144.50 ",8GB,Intel Core i5 8250U 1.6GHz,AMD Radeon RX 550,256GB SSD +  1TB HDD
403,Acer,$879.00 ,8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,256GB SSD
404,MSI,"$2,249.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,256GB SSD +  1TB HDD
405,Asus,"$1,873.00 ",8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,512GB SSD
406,Toshiba,"$1,747.00 ",16GB,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,512GB SSD
407,Dell,"$1,680.00 ",8GB,Intel Core i7 7600U 2.8GHz,Intel HD Graphics,512GB SSD
408,Lenovo,$409.00 ,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,500GB HDD
409,Lenovo,$304.45 ,2GB,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,32GB Flash Storage
410,Lenovo,"$1,925.00 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia Quadro M1200,512GB SSD
411,Lenovo,"$1,943.00 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GT 940MX,512GB SSD
412,HP,$469.00 ,4GB,Intel Core i3 6006U 2GHz,AMD Radeon 520,1TB HDD
413,Acer,$789.01 ,8GB,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,256GB SSD
414,Asus,$928.00 ,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
415,Dell,$598.90 ,4GB,Intel Core i5 7200U 2.5GHz,AMD Radeon R5 M430,256GB SSD
416,Dell,$689.00 ,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,128GB SSD
417,HP,"$1,500.00 ",8GB,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,256GB SSD
418,Dell,$539.95 ,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,1TB HDD
419,Lenovo,"$1,215.38 ",8GB,Intel Core i7 8550U 1.8GHz,AMD Radeon RX 550,256GB SSD
420,Lenovo,"$1,899.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,512GB SSD
421,Chuwi,$449.00 ,6GB,Intel Celeron Quad Core N3450 1.1GHz,Intel HD Graphics 500,64GB Flash Storage
422,HP,"$1,427.00 ",8GB,Intel Core i7 7820HQ 2.9GHz,Intel HD Graphics 630,256GB SSD
423,Asus,$597.00 ,8GB,Intel Core i3 7100U 2.4GHz,Nvidia GeForce 940MX,1TB HDD
424,Dell,"$2,799.00 ",16GB,Intel Core i7 7820HK 2.9GHz,Nvidia GeForce GTX 1070,256GB SSD +  1TB HDD
425,Dell,"$1,159.00 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,128GB SSD +  1TB HDD
426,Dell,"$1,142.40 ",8GB,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,256GB SSD +  2TB HDD
427,Dell,"$1,099.00 ",8GB,Intel Core i7 7600U 2.8GHz,Intel HD Graphics 620,256GB SSD
428,HP,"$1,999.00 ",12GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,256GB SSD +  1TB HDD
429,Mediacom,$299.00 ,4GB,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,32GB SSD
430,Samsung,$269.00 ,4GB,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,16GB Flash Storage
431,Lenovo,"$1,010.00 ",8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
432,Lenovo,$599.00 ,4GB,Intel Core i3 7130U 2.7GHz,Intel HD Graphics 620,128GB SSD
433,Lenovo,"$2,445.00 ",16GB,Intel Core i7 7600U 2.8GHz,Nvidia GeForce 940MX,512GB SSD
434,Lenovo,"$2,449.00 ",16GB,Intel Core i7 7820HQ 2.9GHz,Nvidia Quadro M2200M,512GB SSD
435,Asus,"$1,695.00 ",8GB,AMD Ryzen 1600 3.2GHz,AMD Radeon RX 580,256GB SSD +  1TB HDD
436,HP,$347.00 ,4GB,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,500GB HDD
437,Google,"$2,199.00 ",16GB,Intel Core i7 7Y75 1.3GHz,Intel HD Graphics 615,512GB SSD
438,Lenovo,"$2,382.00 ",24GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,512GB SSD
439,Asus,$559.00 ,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
440,Lenovo,$519.00 ,8GB,AMD A6-Series 9220 2.5GHz,AMD Radeon R4,1TB HDD
441,Dell,$749.00 ,4GB,Intel Core i5 8250U 1.6GHz,AMD Radeon 530,256GB SSD
442,Lenovo,"$1,429.00 ",8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
443,Lenovo,$349.00 ,4GB,Intel Pentium Quad Core N4200 1.1GHz,Intel HD Graphics 505,128GB SSD
444,HP,"$1,099.00 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD
445,Dell,"$1,179.00 ",8GB,Intel Core i5 7440HQ 2.8GHz,Nvidia GeForce 930MX,256GB SSD
446,Acer,$441.80 ,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,500GB HDD
447,Dell,"$1,993.00 ",8GB,Intel Xeon E3-1505M V6 3GHz,Nvidia Quadro M620,64GB Flash Storage +  1TB HDD
448,MSI,"$1,027.74 ",8GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,256GB SSD
449,Microsoft,"$2,589.00 ",16GB,Intel Core i7 7660U 2.5GHz,Intel Iris Plus Graphics 640,512GB SSD
450,HP,$589.00 ,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,128GB SSD
451,Dell,"$1,975.00 ",16GB,Intel Core i7 6820HQ 2.7GHz,Nvidia Quadro M620,256GB SSD
452,HP,"$1,534.00 ",8GB,Intel Core i7 7820HQ 2.9GHz,Intel HD Graphics 620,512GB SSD
453,Lenovo,"$1,345.00 ",8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
454,Dell,$979.00 ,8GB,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,128GB SSD +  1TB HDD
455,Dell,$479.00 ,4GB,Intel Pentium Quad Core N3710 1.6GHz,Intel HD Graphics 405,500GB HDD
456,Dell,"$2,046.00 ",8GB,Intel Core i7 7700HQ 2.7GHz,Nvidia GeForce GTX 1060,1TB HDD
457,Microsoft,$989.00 ,4GB,Intel Core M m3-7Y30 2.2GHz,Intel HD Graphics 615,128GB SSD
458,Microsoft,"$1,799.00 ",8GB,Intel Core i7 7660U 2.5GHz,Intel Iris Plus Graphics 640,256GB SSD
459,HP,$639.90 ,8GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,256GB SSD
460,Acer,$544.00 ,4GB,Intel Core i3 6006U 2GHz,Nvidia GeForce 940MX,1TB HDD
461,Acer,$435.00 ,4GB,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,128GB SSD
462,Asus,$749.00 ,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,1TB HDD
463,Lenovo,$799.00 ,8GB,Intel Core i7 7500U 2.7GHz,AMD Radeon R7 M460,512GB SSD
464,Lenovo,"$2,090.00 ",8GB,Intel Core i7 7820HQ 2.9GHz,Nvidia Quadro M2200M,256GB SSD
465,Asus,$304.00 ,4GB,Intel Pentium Quad Core N4200 1.1GHz,Intel HD Graphics 500,500GB HDD
466,Acer,$469.00 ,4GB,Intel Core i3 6006U 2GHz,Nvidia GeForce GTX 940MX,500GB HDD
467,Dell,$759.00 ,8GB,Intel Core i5 8250U 1.6GHz,AMD Radeon 530,2TB HDD
